COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
955,PHA G613,PHARMACEUTICAL BIOTECH,3,2,5,1,SWATI BISWAS,G103,M W F,8,11-Dec,FN
,,Practical,,,,,Swati Biswas,A009,M W,2 3,,
,,,,,,,Are Varshini,,,,,
,,,,,,,Naithik jain,,,,,
,,,,,,,Shishira,,,,,
,,,,,,,Sripathi Nikhitha,,,,,
2105,PHA G619,SCR METHOD & TECH IN PHA,3,2,5,1,SRINIVAS PRASAD K,G104,M W F,5,06-Dec,FN
,,Practical,,,,,Srinivas Prasad K,A009,W,7 8,,
,,,,,,,Amit Lalwani,,,,,
,,,,,,,Sonam Dolma,,,,,
,,,,,,,Wadkar Avinash Rudrappa,,,,,
,,,,,,,Srinivas Prasad K,A009,F,10 11,,
2391,PHA G625,CELLULAR AND MOLECULAR,3,2,5,1,SRINIVAS PRASAD K,G105,T Th,4,13-Dec,FN
,,PHARMACOLOGY,,,,,Srinivas Prasad K,G105,M,10,,
2392,PHA G626,PHARMACOVIGILANCE,4,-,4,1,ABHIJEET RAJENDRA JOSHI,G102,M W F,8,09-Dec,FN
721,PHA G632,DOSAGE FORM DESIGN,3,2,5,1,R PUNNA RAO,G101,M W F,5,13-Dec,FN
,,Practical,,,,,R Punna Rao,A022,T,7 8 9 10,,
,,,,,,,Radhika Rajiv Mahajan,,,,,
,,,,,,,Sonali Singh,,,,,
,,,,,,,Yuvaraj Singh,,,,,
2069,PHA G642,LABORATORY PROJECT,-,6,6,1,SWATI BISWAS,,,,,
1014,PHY F110,PHYSICS LABORATORY,-,2,1,1,Suvadip Das,A222,M,2 3,07-Dec,FN
,,,,,,,Lekshmi S M,,,,,
,,,,,,2,Rahul Nigam,A222,M,8 9,,
,,,,,,,Dharana Joshi,,,,,
,,,,,,3,TO BE ANNOUNCED,A222,Th,9 10,,
,,,,,,,Surajit Das,,,,,
,,,,,,4,Swastik Bhattacharya,A222,T,9 10,,
,,,,,,,Rakesh kumar jha,,,,,
,,,,,,5,Aranya Bhuti Bhattacherjee,A222,M,4 5,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,6,SUBRAHMANYA BHIMA SANKAR D,A223,W,4 5,,
,,,,,,,Yash Pareek,,,,,
,,,,,,7,Sashideep Gutti,A222,F,8 9,,
,,,,,,,Anagh Venneti,,,,,
,,,,,,8,Sarmistha Banik,A222,F,4 5,,
,,,,,,,Aprajita srivastav,,,,,
,,,,,,9,Asrarul Haque,A222,W,8 9,,
,,,,,,,Akhil U Nair,,,,,
,,,,,,10,Prasant Samantray,A222,W,2 3,,
,,,,,,,Kulkarni akshay avinash,,,,,
,,,,,,11,Debanjan Polley,A222,F,2 3,,
,,,,,,,Anamika Avinash Pathak,,,,,
1015,PHY F111,MECH OSCIL & WAVES,3,-,3,1,RICKMOY SAMANTA,F102,M W,1,12-Dec,FN
,,,,,,,PK Thiruvikraman,,,,,
,,,,,,2,Rickmoy Samanta,F103,T Th,5,,
,,,,,,,PK Thiruvikraman,,,,,
,,Tutorial,,,,1,Tanay Nag,I114,T Th,2,,
,,,,,,2,Suvadip Das,I122,T Th,2,,
,,,,,,3,Subhadeep Roy,I212,T Th,2,,
,,,,,,4,Subrahmanya Bhima Sankar D,I213,T Th,2,,
,,,,,,5,Tanay Nag,G206,T Th,8,,
,,,,,,6,Suvadip Das,G207,T Th,8,,
,,,,,,7,Subhadeep Roy,G208,T Th,8,,
,,,,,,8,Subrahmanya Bhima Sankar D,F201,T Th,8,,
1859,PHY F112,GENERAL PHYSICS,3,-,3,1,B HARIHARA  VENKATARAMAN,G102,T Th,5,12-Dec,FN
,,,,,,,B Harihara  Venkataraman,G102,W,10,,
,,Tutorial,,,,,B Harihara  Venkataraman,G103,T,8,,
1126,PHY F211,CLASSICAL MECHANICS,3,1,4,1,ARAVINDA N RAGHAVAN,G202,M W F,2,06-Dec,AN
,,Tutorial,,,,,Aravinda N Raghavan,G202,T,1,,
