COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1119,CHEM F214,INORGANIC CHEMISTRY I,3,-,3,1,N RAJESH,G104,T Th,2,16-Dec,FN
,,,,,,,N Rajesh,G104,W,7,,
,,Tutorial,,,,,N Rajesh,G104,T,9,,
1654,CHEM F266,STUDY PROJECT,-,-,3,1,BALAJI GOPALAN,,,,,
1559,CHEM F311,ORGANIC CHEMISTRY III,3,-,3,1,KVG CHANDRASEKHAR,G104,T Th,3,13-Dec,FN
,,,,,,,KVG Chandrasekhar,G104,F,10,,
,,Tutorial,,,,,KVG Chandrasekhar,G104,Th,10,,
1560,CHEM F312,PHYSICAL CHEMISTRY IV,3,-,3,1,BALAJI GOPALAN,G104,M W F,1,10-Dec,AN
,,Tutorial,,,,,Balaji Gopalan,G104,T,7,,
1558,CHEM F313,INSTRU METHODS OF ANAL,3,1,4,1,AMIT NAG,G104,W F,9,02-Dec,FN
,,,,,,,R Krishnan,,,,,
,,,,,,,Amit Nag,G104,Th,8,,
,,,,,,,R Krishnan,,,,,
,,Practical,,,,,Amit Nag,LAB,M,7 8 9,,
,,,,,,,Animesh Pal,,,,,
,,,,,,,Appanapalli,,,,,
,,,,,,,nHaibgaakvheandkeaetajas.aMth.Pyanarayana,,,,,
,,,,,,,Himanshu Aggarwal,,,,,
,,,,,,,Md Asad Tanvir,,,,,
,,,,,,,R Krishnan,,,,,
,,,,,,,Ramakrishnan G,,,,,
,,,,,,,Sankho Subhra Samanta,,,,,
,,,,,,,Satya Narayan Guin,,,,,
,,,,,,,Sayan Halder,,,,,
,,,,,,,Suchashrita Mitra,,,,,
,,,,,,,Supriya Swain,,,,,
1572,CHEM F325,POLYMER CHEMISTRY,3,-,3,1,CHANCHAL CHAKRABORTY,G105,M W F,2,06-Dec,FN
,,,,,,,Subit Kumar Saha,,,,,
1575,CHEM F326,SOLID STATE CHEMISTRY,3,-,3,1,SOUNAK ROY,G105,M W F,3,11-Dec,FN
1577,CHEM F327,ELECTROCHEM FUNDA & APPL,3,-,3,1,SOURAV BAG,I211,T Th,2,16-Dec,AN
,,,,,,,Vijay Sethuraman,,,,,
,,,,,,,Sourav Bag,I211,W,7,,
,,,,,,,Vijay Sethuraman,,,,,
1669,CHEM F366,LABORATORY PROJECT,-,-,3,1,ARIJIT MUKHERJEE,,,,,
1739,CHEM F367,LABORATORY PROJECT,-,-,3,1,ARIJIT MUKHERJEE,,,,,
