COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1626,HSS F346,INTERNATIONAL RELATIONS,3,-,3,1,SUCHISMITA SATPATHY,J121,M W F,4,04-Dec,FN
2289,HSS F368,ASIAN CINEMAS AND,3,-,3,1,SPANDAN BHATTACHARYA,J206,T Th,2,16-Dec,AN
,,CULTURES,,,,,Spandan Bhattacharya,J206,W,7,,
2290,HSS F369,CASTE AND GENDER IN INDIA,3,-,3,1,SHILPAA ANAND,J121,M W F,2,06-Dec,FN
2567,HSS F379,INTRODUCTION TO,3,3,3,1,BISWANATH DASH,J119,T Th,5,03-Dec,FN
,,,,,,,Biswanath Dash,J119,W,10,,
1096,INSTR F211,ELECTRICAL MACHINES,3,1,4,1,ANKUR BHATTACHARJEE,F105,T W F,8,16-Dec,FN
,,,,,,2,Mithun Mondal,F104,T W F,8,,
,,Practical,,,,1,Pratyush Chakraborty,WS,F,4 5,,
,,,,,,,Pam Paul Gyang,,,,,
,,,,,,,Pragada Dheeraj Abhinav,,,,,
,,,,,,2,Mithun Mondal,WS,M,6 7,,
,,,,,,,Kommanaboina Mahender,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,3,Alivelu Manga Parimi,WS,T,6 7,,
,,,,,,,Gudavalli durga k prasad,,,,,
,,,,,,,Kurakula Anudeep,,,,,
,,,,,,4,Sudha Radhika,WS,Th,4 5,,
,,,,,,,Gorityala Aishvaria,,,,,
,,,,,,,Pam Paul Gyang,,,,,
,,,,,,5,Ankur Bhattacharjee,WS,T,4 5,,
,,,,,,,Pragada Dheeraj Abhinav,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,6,Alivelu Manga Parimi,WS,M,8 9,,
,,,,,,,Gudavalli durga k prasad,,,,,
,,,,,,,Kurakula Anudeep,,,,,
,,,,,,7,Neha Tak,WS,M,4 5,,
,,,,,,,Gorityala Aishvaria,,,,,
,,,,,,,Swati patro,,,,,
,,,,,,8,Neha Tak,WS,W,4 5,,
,,,,,,,Kommanaboina Mahender,,,,,
,,,,,,,Swati patro,,,,,
,,Tutorial,,,,1,Ankur Bhattacharjee,I122,T,1,,
,,,,,,2,Ankur Bhattacharjee,I122,Th,7,,
,,,,,,3,Mithun Mondal,I210,T,1,,
,,,,,,4,Mithun Mondal,I210,Th,7,,
,,,,,,5,Neha Tak,I211,T,1,,
,,,,,,6,Neha Tak,I211,T,9,,
,,,,,,7,Neha Tak,I211,Th,7,,
1097,INSTR F212,ELECTROMAGNETIC THEORY I,3,-,3,1,Sashideep Gutti,G201,M W F,3,11-Dec,AN
,,,,,,2,VSN Murthy,G202,M W F,3,,
,,,,,,3,TO BE ANNOUNCED,G203,M W F,3,,
,,,,,,4,RAHUL NIGAM,F103,M W F,3,,
,,,,,,5,Swastik Bhattacharya,G204,M W F,3,,
,,,,,,6,Asrarul Haque,G103,M W F,3,,
,,Tutorial,,,,1,Sashideep Gutti,G201,Th,1,,
,,,,,,2,VSN Murthy,G202,Th,1,,
,,,,,,3,Debanjan Polley,G203,Th,1,,
,,,,,,4,Rahul Nigam,F107,Th,1,,
,,,,,,5,Swastik Bhattacharya,G204,Th,1,,
,,,,,,6,Asrarul Haque,G103,Th,1,,
1099,INSTR F214,ELECTRONIC DEVICES,3,-,3,1,SAYAN KANUNGO,F105,M W F,2,06-Dec,AN
,,,,,,2,S K Chatterjee,F104,M W F,2,,
,,Tutorial,,,,1,Sayan Kanungo,I212,T,1,,
,,,,,,2,S K Chatterjee,I213,Th,9,,
,,,,,,3,S K Chatterjee,I213,T,1,,
,,,,,,4,S K Chatterjee,I213,Th,7,,
,,,,,,5,Parikshit Parshuram Sahatiya,I212,Th,7,,
,,,,,,6,Sk Masum Nawaz,I221,T,1,,
,,,,,,7,Sk Masum Nawaz,I221,Th,7,,
1098,INSTR F215,DIGITAL DESIGN,3,1,4,1,PONNALAGU R N,F105,T Th,2,04-Dec,AN
,,,,,,,Ponnalagu R N,F105,W,7,,
,,,,,,2,BVVSN Prabhakar Rao,F102,T Th,2,,
,,,,,,,Joyjit Mukherjee,,,,,
,,,,,,,BVVSN Prabhakar Rao,F102,W,7,,
,,,,,,,Joyjit Mukherjee,,,,,
,,Practical,,,,1,Amgith.G.S,I012,W,4 5,,
,,,,,,,Shubham Deepak Yadav,,,,,
,,,,,,2,Amgith.G.S,I012,M,4 5,,
,,,,,,,Shubham Deepak Yadav,,,,,
,,,,,,3,Syed Ershad Ahmed,I013,Th,4 5,,
,,,,,,,Nongthombam Joychandra Singh,,,,,
,,,,,,,Sohel Siraj,,,,,
,,,,,,4,Ponnalagu R N,I013,M,8 9,,
,,,,,,,Nongthombam Joychandra Singh,,,,,
,,,,,,,Sohel Siraj,,,,,
,,,,,,5,Gowtham Polumati,I013,W,4 5,,
,,,,,,,Mou Sarkar,,,,,
,,,,,,6,Amit Kumar Panda,I012,T,6 7,,
,,,,,,,Gowtham Polumati,,,,,
,,,,,,,Mou Sarkar,,,,,
,,,,,,7,Niranjan Raj,I012,M,8 9,,
,,,,,,,Aditya Tiwari,,,,,
,,,,,,,N Praneeth,,,,,
,,,,,,8,Neha Tak,I012,T,4 5,,
,,,,,,,Aditya Tiwari,,,,,
,,,,,,,N Praneeth,,,,,
,,,,,,9,Neha Tak,I013,F,4 5,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,,Vanmathi S,,,,,
,,,,,,10,Ponnalagu R N,I012,F,4 5,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,,Vanmathi S,,,,,
,,,,,,11,Kandi Mounika,I012,M,6 7,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,12,Kandi Mounika,I013,T,4 5,,
,,,,,,,Nandini Ashokkumar Trivedi,,,,,
,,,,,,13,Baishali Paul,I013,M,6 7,,
,,,,,,,Nandini Ashokkumar Trivedi,,,,,
,,,,,,14,Baishali Paul,I013,T,6 7,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,15,Shaik sultan,I012,Th,4 5,,
,,,,,,,Pavar Sai Kumar,,,,,
,,,,,,16,Shaik sultan,I013,M,4 5,,
,,,,,,,Pavar Sai Kumar,,,,,
,,Tutorial,,,,1,TO BE ANNOUNCED,I113,T,9,,
,,,,,,2,TO BE ANNOUNCED,I113,Th,9,,
,,,,,,3,Ponnalagu R N,I114,T,9,,
,,,,,,4,Ponnalagu R N,I114,Th,9,,
,,,,,,5,BVVSN Prabhakar Rao,I122,T,9,,
,,,,,,6,BVVSN Prabhakar Rao,I122,Th,9,,
