COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
357,CE G538,PROJECT PLAN & MGMT,3,1,4,1,BAHURUDEEN A,F203,T Th,4,03-Dec,FN
,,,,,,,Bahurudeen A,F203,F,10,,
,,Practical,,,,,Bahurudeen A,D331A,T,9 10,,
931,CE G545,AIRPORT PLANNING & DES,3,1,4,1,SRIDHAR RAJU,F202,M W F,4,07-Dec,AN
,,Practical,,,,,Sridhar Raju,D224,W,8 9,,
880,CE G551,DYNAMICS OF STRUCTURES,3,1,4,1,MOHAN S C,F201,M W F,4,13-Dec,AN
,,Practical,,,,,Mohan S C,D123,W,8 9,,
526,CE G552,ADV STR MECH & STABILITY,3,1,4,1,CHANDU PARIMI,F201,T Th,4,05-Dec,FN
,,,,,,,Chandu Parimi,F201,M,7,,
,,Practical,,,,,Chandu Parimi,D331A,T,7 8,,
2199,CE G562,ADVANCED CONCRETE,3,1,4,1,ARKAMITRA KAR,F202,T Th,4,07-Dec,FN
,,TECHNOLOGY,,,,,Arkamitra Kar,F202,M,9,,
,,Practical,,,,,Arkamitra Kar,D331A,W,8 9,,
2337,CE G565,TRANSPORTATION PLANNING,3,1,4,1,PRASANTA KUMAR SAHU,F201,M W F,5,05-Dec,FN
,,Practical,,,,,Prasanta Kumar Sahu,D224,Th,9 10,,
2339,CE G567,HIGHWAY DESIGN,3,1,4,1,BANDHAN BANDHU MAJUMDAR,F202,T Th,2,07-Dec,AN
,,,,,,,Bandhan Bandhu Majumdar,F202,W,7,,
,,Practical,,,,,Bandhan Bandhu Majumdar,D224,T,8 9,,
2340,CE G568,TRAFFIC SYSTEMS ANALYSIS,3,1,4,1,ISHANT SHARMA,F201,T Th,5,10-Dec,AN
,,,,,,,Ishant Sharma,F201,W,10,,
,,Practical,,,,,Ishant Sharma,LAB,M,8 9,,
2341,CE G569,TRANSPORTATION,3,1,4,1,ISHANT SHARMA,F202,M W F,3,09-Dec,FN
,,E  C   O  N   O   M   I C  PSractical,,,,,Ishant Sharma,LAB,F,7 8,,
2343,CE G571,ROAD ASSET MANAGEMENT,3,1,4,1,AKSHAY GUNDLA,F202,M W F,2,05-Dec,FN
,,Practical,,,,,Akshay Gundla,LAB,Th,8 9,,
