COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1177,GS F333,PUBLIC ADMINISTRATION,3,-,3,1,LAVANYA SURESH,J218,T Th,5,03-Dec,FN
,,,,,,,Lavanya Suresh,J218,W,10,,
1603,HSS F222,LINGUISTICS,3,-,3,1,PRANESH BHARGAVA,J120,M W F,4,04-Dec,FN
1622,HSS F234,MAIN CURRENT OF MODERN,3,-,3,1,MADHAVI JHA,J219,M W F,1,10-Dec,AN
1627,HSS F235,HINISTRODUCTORY PHILOSOPHY,3,-,3,1,JAYESH A K,J121,T Th,2,16-Dec,FN
,,,,,,,Jayesh A K,J121,W,7,,
1645,HSS F317,INTRO TO GLOBALIZATION,3,-,3,1,KUNALJEET ROY,J115,T Th,10,05-Dec,AN
,,,,,,,Kunaljeet Roy,J115,F,7,,
1598,HSS F331,SANKARA'S THOUGHTS,3,-,3,1,MAYA VINAI,J120,T Th,10,05-Dec,AN
,,,,,,,Maya Vinai,J120,F,7,,
1601,HSS F332,CINEMATIC ART,-,-,3,1,SPANDAN BHATTACHARYA,J206,M W F,1,10-Dec,AN
1599,HSS F334,SRIMAD BHAGAVAD GITA,3,-,3,1,ARUNA LOLLA,J119,M W F,3,11-Dec,FN
1605,HSS F336,MODERN FICTION,3,-,3,1,VIJAY KUMAR T,J206,M W F,3,11-Dec,FN
1832,HSS F340,POST COLONIAL LITERATURE,3,-,3,1,VIJAY KUMAR T,J206,T Th,10,05-Dec,AN
,,,,,,,Vijay Kumar T,J206,F,7,,
