COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1688,CHEM F376,DESIGN PROJECT,-,-,3,1,DURBA ROY,,,,,
1755,CHEM F377,DESIGN PROJECT,-,-,3,1,DURBA ROY,,,,,
2564,CHEM F416,APPLIED CRYSTALLOGRAPHY,3,-,3,1,ARIJIT MUKHERJEE,G105,T Th,3,13-Dec,AN
,,,,,,,Arijit Mukherjee,G105,F,10,,
937,CHEM G553,ADVANCED PHYSICAL,-,-,5,1,SUBIT KUMAR SAHA,G204,M W F,4,04-Dec,FN
,,CHEMISTRY,,,,,Sourav Bag,,,,,
242,CHEM G554,PHY METHODS IN CHEMISTRY,-,-,5,1,HIMANSHU AGGARWAL,G105,T Th,5,07-Dec,AN
,,,,,,,Manab Chakravarty,,,,,
,,,,,,,Himanshu Aggarwal,G105,W,7,,
,,,,,,,Manab Chakravarty,,,,,
1008,CS F111,COMPUTER PROGRAMMING,3,1,4,1,SUBHRAKANTA PANDA,F102,T Th,1,05-Dec,FN
,,,,,,,Subhrakanta Panda,F102,M,7,,
,,,,,,2,Raghunath Reddy M,F103,T Th,1,,
,,,,,,,Raghunath Reddy M,F103,M,7,,
,,Practical,,,,1,Aneesh Sreevallabh Chivukula,D311,M,2 3,,
,,,,,,,Sagarika Jana,,,,,
,,,,,,2,Aneesh Sreevallabh Chivukula,D311,W,2 3,,
,,,,,,,Sagarika Jana,,,,,
,,,,,,3,Jay Kamlesh Dave,D311,F,8 9,,
,,,,,,,Mekala Kiran,,,,,
,,,,,,4,Jay Kamlesh Dave,D311,M,4 5,,
,,,,,,,Mekala Kiran,,,,,
,,,,,,5,Akanksha Rathore,D311,F,4 5,,
,,,,,,,Attarde Pranjali Devidas,,,,,
,,,,,,6,Akanksha Rathore,D311,W,4 5,,
,,,,,,,Attarde Pranjali Devidas,,,,,
,,,,,,7,Paresh Saxena,D311,F,2 3,,
,,,,,,8,Paresh Saxena,D311,T,9 10,,
,,,,,,9,TO BE ANNOUNCED,D311,Th,9 10,,
,,,,,,,Priya baju,,,,,
,,,,,,10,TO BE ANNOUNCED,D311,W,7 8,,
,,,,,,,Priya baju,,,,,
1095,CS F212,DATA BASE SYSTEMS,3,1,4,1,JABEZ J CHRISTOPHER,F103,T Th,2,16-Dec,AN
,,,,,,,Jabez J Christopher,F103,W,7,,
,,Practical,,,,1,Subhrakanta Panda,D312,W,8 9,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,2,Subhrakanta Panda,D313,Th,4 5,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,3,Prajna Devi Upadhyay,D312,T,4 5,,
,,,,,,,Banala Rajesh,,,,,
,,,,,,4,Prajna Devi Upadhyay,D313,F,8 9,,
,,,,,,,Banala Rajesh,,,,,
1092,CS F213,OBJECT ORIENTED PROG,3,1,4,1,ARITRA MUKHERJEE,F102,M W F,2,06-Dec,FN
,,Practical,,,,1,Aruna Malapati,D313,M,4 5,,
,,,,,,,Suchit bhai patel,,,,,
,,,,,,2,Aruna Malapati,D313,W,4 5,,
,,,,,,,Suchit bhai patel,,,,,
,,,,,,3,Abhijit Das,D313,T,4 5,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,4,Abhijit Das,D313,F,4 5,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,Tutorial,,,,1,Manik Gupta,I111,T,1,,
,,,,,,2,Manik Gupta,I112,Th,1,,
,,,,,,3,DipanJan Chakraborty,I112,T,1,,
,,,,,,4,DipanJan Chakraborty,I111,Th,1,,
1090,CS F214,LOGIC IN COMPUTER SC,3,-,3,1,SAMEERA MUHAMED SALAM,F102,M W F,3,11-Dec,AN
,,Tutorial,,,,1,Ramaswamy Venkatakrishnan,I113,T,1,,
,,,,,,,Kokkiri Hasrith,,,,,
,,,,,,2,Ramaswamy Venkatakrishnan,I113,Th,1,,
,,,,,,,Kokkiri Hasrith,,,,,
,,,,,,3,Tathagata Ray,I114,T,1,,
,,,,,,,Sagarika Jana,,,,,
,,,,,,4,Tathagata Ray,I114,Th,1,,
,,,,,,,Sagarika Jana,,,,,
1093,CS F215,DIGITAL DESIGN,3,1,4,1,PONNALAGU R N,F105,T Th,2,04-Dec,AN
,,,,,,,Ponnalagu R N,F105,W,7,,
,,,,,,2,BVVSN Prabhakar Rao,F102,T Th,2,,
