COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1653,CHE F266,STUDY PROJECT,-,-,3,1,IYMAN ABRAR,,,,,
1184,CHE F311,KINETICS & REACTOR DESIGN,3,-,3,1,D PURNIMA,F205,M W F,4,04-Dec,FN
,,Tutorial,,,,,D Purnima,F205,F,1,,
1185,CHE F312,CHEMICAL ENGG LAB I,-,3,3,1,I SREEDHAR,WS,M W,8 9 10,,
,,,,,,,C Jhansi,,,,,
,,,,,,,Chitturi Huldah Suharika,,,,,
,,,,,,2,D Purnima,WS,M W,8 9 10,,
,,,,,,,Dubbaka Vidya,,,,,
,,,,,,,Y lavanya,,,,,
1186,CHE F313,SEPARATION PROCESSES II,3,-,3,1,IYMAN ABRAR,F205,T Th,10,02-Dec,AN
,,,,,,,Arshad Ali,,,,,
,,,,,,,Iyman Abrar,F205,F,7,,
,,Tutorial,,,,,Iyman Abrar,F205,M,1,,
1187,CHE F314,PROCESS DES PRINCIPLES I,3,-,3,1,ARNAB DUTTA,F205,M W F,5,07-Dec,AN
,,,,,,,Hrithika g,,,,,
,,Tutorial,,,,,Arnab Dutta,F205,W,1,,
1668,CHE F366,LABORATORY PROJECT,-,-,3,1,IYMAN ABRAR,,,,,
1738,CHE F367,LABORATORY PROJECT,-,-,3,1,IYMAN ABRAR,,,,,
1687,CHE F376,DESIGN PROJECT,-,-,3,1,IYMAN ABRAR,,,,,
1754,CHE F377,DESIGN PROJECT,-,-,3,1,IYMAN ABRAR,,,,,
1201,CHE F414,TRANSPORT PHENOMENA,3,-,3,1,DEBIRUPA MITRA,F204,M W F,3,11-Dec,FN
