COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1784,BITS F319,NEGOTIATION SKILLS AND,2,-,2,1,R RAGHUNATHAN,J218,T Th,3,13-Dec,AN
1337,BITS F386,TQEUCAHNNTIUQMU EINSFO & COMPUTING,3,-,3,1,TSL RADHIKA,I111,M W F,3,11-Dec,FN
1592,BITS F412,PRACTICE SCHOOL II,-,-,20,1,S S DESHMUKH,,,,,
1248,BITS F415,INTRODUCTION TO MEMS,3,1,4,1,SANKET GOEL,J220,M W F,3,11-Dec,FN
,,Practical,,,,,Sanket Goel,J204,T,7 8,,
,,,,,,,Abhishek Kumar,,,,,
,,,,,,,Ritesh Kumar Singh,,,,,
1808,BITS F416,INTRO TO NANO SCIENCE,3,-,3,1,B HARIHARA  VENKATARAMAN,G106,T Th,3,13-Dec,AN
,,,,,,,VSN Murthy,,,,,
,,,,,,,B Harihara  Venkataraman,G106,F,10,,
,,,,,,,VSN Murthy,,,,,
1809,BITS F417,MICRO-FLUIDICS & ITS APP,-,-,4,1,MEENAKSHI V,G103,T Th,3,13-Dec,AN
,,,,,,,Aravinda N Raghavan,,,,,
,,,,,,,Meenakshi V,G103,F,10,,
,,,,,,,Aravinda N Raghavan,,,,,
1593,BITS F421T,THESIS,-,-,16,1,SRIDHAR RAJU,,,,,
1617,BITS F423T,THESIS,-,-,9,1,SRIDHAR RAJU,,,,,
1794,BITS F428,ESSENTIALS OF STRATE MGT,3,-,3,1,SWATI ALOK,J218,M W F,2,06-Dec,FN
1806,BITS F431,FLEXIBLE MANUFACTURING,3,1,4,1,NAVEEN KUMAR SHRIVASTAVA,I113,M W F,2,06-Dec,FN
