COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1892,BITS F214,SCIENCE TECH & MODERNITY,3,-,3,1,BISWANATH DASH,J115,M W F,1,10-Dec,AN
1861,BITS F218,GENERAL MATHEMATICS III,3,-,3,1,JHUMA SEN GUPTA,I111,T Th,3,02-Dec,FN
,,,,,,,Jhuma Sen Gupta,I111,F,10,,
,,Tutorial,,,,,Jhuma Sen Gupta,I111,M,10,,
,,,,,,,Amit Kumar Pal,,,,,
1632,BITS F225,ENVIRONMENTAL STUDIES,3,-,3,1,NILANJAN DEY,F102,W F,9,13-Dec,AN
,,,,,,,Murari R R Varma,,,,,
,,,,,,,Peddiraju N V S J Swaroop,,,,,
,,,,,,,Sourav Chowdhury,,,,,
,,,,,,,Nilanjan Dey,F102,Th,8,,
,,,,,,,Murari R R Varma,,,,,
,,,,,,,Sourav Chowdhury,,,,,
2303,BITS F226,SOFT SKILLS FOR,3,-,3,1,ALEENA KHAN,J107,M W F,2,06-Dec,FN
2517,BITS F232,PFOROUNFEDSASTIIONASL OSF DATA,3,1,4,1,APURBA DAS,F106,T Th,3,13-Dec,AN
,,STRUCTURES AND,,,,,Apurba Das,F106,F,10,,
,,Practical,,,,1,Chittaranjan Hota,D311,T,4 5,,
,,,,,,,Madhusudan anand,,,,,
,,,,,,2,Chittaranjan Hota,D311,Th,4 5,,
,,,,,,,Madhusudan anand,,,,,
,,,,,,3,Barsha Mitra,D313,T,7 8,,
,,,,,,,Alekhya gorrela,,,,,
,,,,,,4,Barsha Mitra,D313,Th,7 8,,
2605,BITS F234,INTRODUCTION TO,-,-,4,1,ARNAB GUHA,F101,M,3,,
,,E  N   G  I N   E   E  R   IPNrGa cDtiEcaSlIGN,,,,,Arnab Guha,D208 B,W,3 4,,
2751,BITS F240,INTRO TO ENV & SUST SYS,3,-,3,1,ABHRADEEP MAJUMDER,F101,W,4 5,,
,,ENGG,,,,,Abhradeep Majumder,G202,M,8 9,,
1334,BITS F312,NEURAL NETWORKS AND,3,-,3,1,K SRINIVASA RAJU,G206,T Th,1,10-Dec,AN
,,FUZZY LOGIC,,,,,K Srinivasa Raju,G206,M,7,,
2277,BITS F314,GAME THEORY AND ITS,3,-,3,1,DURGESH C PATHAK,F208,T Th,1,10-Dec,AN
,,APPLICATIONS,,,,,Dushyant Kumar,F208,M,7,,
1511,BITS F316,NONLINEAR DYNA & CHAOS,3,-,3,1,PK THIRUVIKRAMAN,J107,T Th,2,16-Dec,AN
,,,,,,,PK Thiruvikraman,J107,W,7,,
