COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
606,MEL G626,VLSI TEST & TESTABILITY,-,-,5,1,NIRANJAN RAJ,I213,M W F,5,05-Dec,FN
,,Practical,,,,,Niranjan Raj,J114,T,4 5,,
,,,,,,,K Gopikrishna,,,,,
,,,,,,,Niranjan Raj,I124,Th,4 5,,
,,,,,,,K Gopikrishna,,,,,
744,MEL G631,PHYSICS AND MODELLING OF,3,2,5,1,SURYA SHANKAR DAN,I221,T Th,3,04-Dec,FN
,,MICROELECTRONIC DEVICES,,,,,Surya Shankar Dan,I221,W,10,,
,,Practical,,,,,Surya Shankar Dan,J114,Th,6 7,,
,,,,,,,Surya Shankar Dan,J114,F,9 10,,
1402,MF F311,MECHATRONICS & AUTOMAT,2,1,3,1,ARSHAD JAVED,G206,M W F,3,11-Dec,FN
,,Practical,,,,,Arshad Javed,LAB,T,7 8,,
1418,MF F421,SUPPLY CHAIN MANAGEMENT,-,-,4,1,C P KIRAN,G206,T Th,2,16-Dec,AN
,,,,,,,C P Kiran,G206,W,7,,
1024,MGTS F211,PRINCIPLES OF MANAGEMENT,3,-,3,1,SWATI ALOK,F104,T Th,3,09-Dec,AN
,,,,,,,Swati Alok,F104,F,10,,
,,Tutorial,,,,,Swati Alok,F104,Th,7,,
2548,MGTS F316,MANAGERIAL & LEADERSHIP,3,-,3,1,R RAGHUNATHAN,J218,M W F,3,11-Dec,FN
369,MSE G511,SMKEICLLHSATRONICS,3,2,5,1,ARSHAD JAVED,G206,M W F,3,11-Dec,FN
,,Practical,,,,,Arshad Javed,LAB,M W,6 7,,
649,MSE G521,WORLD-CLASS MANUFACTUR,3,2,5,1,RAVI SHANKER VIDYARTHY,G107,M W F,9,09-Dec,FN
,,Practical,,,,,Kaleru Sai Kiran,LAB,T Th,2 3,,
1086,PHA F211,PHARMACEUTICAL ANALYSIS,2,1,3,1,BALRAM GHOSH,G107,M W,2,06-Dec,AN
,,Practical,,,,1,Balram Ghosh,B212,T,4 5,,
,,,,,,,Ambati Himaja,,,,,
,,,,,,,Debo Jyothi Halder,,,,,
,,,,,,,Denishkumar Jayvadanbhai Prajapati,,,,,
,,,,,,,Regula sanjeev,,,,,
,,,,,,2,Balram Ghosh,B212,Th,4 5,,
,,,,,,,Ambati Himaja,,,,,
,,,,,,,Debo Jyothi Halder,,,,,
,,,,,,,Denishkumar Jayvadanbhai Prajapati,,,,,
,,,,,,,Regula sanjeev,,,,,
,,Tutorial,,,,,Balram Ghosh,G107,F,2,,
1863,PHA F215,INTRODUCTION TO,3,-,3,1,ARTI DHAR,G107,W F,8,04-Dec,AN
,,M   O  L  E   C   U  L  A  PRr aBcIOtic &al,,,,1,Arti Dhar,A009,M,4 5,,
,,,,,,,Choudhary Heena Bholaram,,,,,
,,,,,,,Karnik aaditi sameer,,,,,
,,,,,,,Kothari prafful pradeep,,,,,
,,,,,,,Lahane Ganesh Panditrao,,,,,
,,,,,,,Shivani,,,,,
,,,,,,,Vesmaker Kushal Nalin,,,,,
,,,,,,2,Arti Dhar,A009,W,4 5,,
,,,,,,,Choudhary Heena Bholaram,,,,,
,,,,,,,Karnik aaditi sameer,,,,,
,,,,,,,Kothari prafful pradeep,,,,,
,,,,,,,Lahane Ganesh Panditrao,,,,,
,,,,,,,Shivani,,,,,
,,,,,,,Vesmaker Kushal Nalin,,,,,
,,Tutorial,,,,,Arti Dhar,G107,T,8,,
