COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
520,BITS C797T,PHD SEMINAR,-,-,1,1,ALIVELU MANGA PARIMI,,,,,
553,BITS C799T,PHD THESIS,-,-,10,1,ALIVELU MANGA PARIMI,,,,,
2128,BITS E593,READING COURSE I,-,-,5,1,ALIVELU MANGA PARIMI,,,,,
2490,BITS E594,READING COURSE II,-,-,5,1,ALIVELU MANGA PARIMI,,,,,
2101,BITS E661,RESEARCH METHODOLOGY I,-,-,5,1,SUSHIL BHUNIA,G204,M W F,9,,
,,,,,,,SP Regalla,,,,,
857,BITS E793T,PRACTICE LECT SERIES I,-,-,1,1,ALIVELU MANGA PARIMI,,,,,
1003,BITS F110,ENGINEERING GRAPHICS,1,2,2,1,A Vasan,F102,T,7,16-Dec,FN
,,,,,,2,KURRA SURESH,F103,T,7,,
,,Practical,,,,1,Muddasani Rajkumar,D208 A,M,2 3,,
,,,,,,,Abhishek Sarkar,,,,,
,,,,,,,Bandhan Bandhu Majumdar,,,,,
,,,,,,2,Abhradeep Majumder,D208 A,M,4 5,,
,,,,,,,Bandi Sharon Lily,,,,,
,,,,,,,Hanan H,,,,,
,,,,,,3,Ammavajjula Sesha Sai Raghuram,D208 A,W,4 5,,
,,,,,,,Bandi Sharon Lily,,,,,
,,,,,,,Manish Srivastava,,,,,
,,,,,,4,Chirdeep N R,D208 A,W,2 3,,
,,,,,,,K Ramesh,,,,,
,,,,,,,N.Jivitha,,,,,
,,,,,,5,TO BE ANNOUNCED,D208 A,F,2 3,,
,,,,,,,Dilawaiz ali,,,,,
,,,,,,,K Ramesh,,,,,
,,,,,,6,Kushagra Pandey,D208 A,F,4 5,,
,,,,,,,Gowlla Jyothsna,,,,,
,,,,,,,K S deepak,,,,,
,,,,,,7,Md Zabiulla,D208 A,W,7 8,,
,,,,,,,Kaivalya Avinash Bhandwalkar,,,,,
,,,,,,,P Ramya Priya,,,,,
,,,,,,8,Chirdeep N R,D208 A,T,8 9,,
,,,,,,,Anuradha Tiwari,,,,,
,,,,,,,Renuka Pradeep Rekhade,,,,,
,,,,,,9,Ankur Abhishek,D208 A,F,8 9,,
,,,,,,,Renuka Pradeep Rekhade,,,,,
,,,,,,10,Meenu Krishnan,D208 A,Th,9 10,,
,,,,,,,Vemu Sahiti,,,,,
,,Tutorial,,,,1,A Vasan,G204,Th,8,,
,,,,,,2,K Rajitha,G102,Th,8,,
,,,,,,3,Navaneetha E,G103,Th,8,,
,,,,,,4,Ambili P,G205,Th,8,,
,,,,,,5,Vijay Krupaker Maddu,G105,Th,8,,
,,,,,,6,YV Daseswara Rao,G106,Th,8,,
,,,,,,7,Arshad Javed,G107,Th,8,,
,,,,,,8,Abhishek Sarkar,G203,Th,8,,
,,,,,,9,K S deepak,G201,Th,8,,
,,,,,,10,P Ramya Priya,G202,Th,8,,
1004,BITS F111,THERMODYNAMICS,3,-,3,1,Ramesh Babu A,F103,M W F,1,12-Dec,FN
,,,,,,,Mattupalli Sai Soumya Sri,,,,,
,,,,,,2,M SRINIVAS,F102,T Th,5,,
,,,,,,,M Srinivas,F102,W,10,,
,,Tutorial,,,,1,Balaji Krishnamurthy,G204,T Th,2,,
,,,,,,2,Satyapaul Singh Amarthaluri,G102,T Th,2,,
,,,,,,,Anuradha Tiwari,,,,,
,,,,,,3,Karthik Chetan,G103,T Th,2,,
,,,,,,4,Debirupa Mitra,G203,T Th,2,,
,,,,,,,Madhusmita Sahoo,,,,,
,,,,,,5,Shambojit Roy,G106,T Th,2,,
,,,,,,6,N Jalaiah,G107,T Th,2,,
,,,,,,7,KRC Murthy,J220,T Th,2,,
,,,,,,8,M Srinivas,F203,T Th,2,,
,,,,,,9,R Parameshwaran,G202,T Th,2,,
,,,,,,10,Naveen Kumar Shrivastava,G105,T Th,2,,
1005,BITS F112,TECHNICAL REPORT WRITING,2,-,2,1,MG PRASUNA,F107,M W,9,07-Dec,FN
,,,,,,2,Maya Vinai,F108,M W,9,,
,,,,,,3,Santosh  Mahapatra,G208,M W,9,,
,,,,,,4,Shakul Tewari,G207,M W,9,,
,,,,,,5,Aleena Khan,G206,T Th,3,,
,,,,,,6,Krishnanunni Hari,G205,M W,9,,
1858,BITS F113,GENERAL MATHEMATICS I,3,-,3,1,ROHIT GUPTA,I111,M W F,1,03-Dec,AN
,,Tutorial,,,,,Rohit Gupta,I111,T,2,,
,,,,,,,Sushil Pathak,,,,,
