COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
2059,ME G513,HEATING & COOL OF BUILD,3,2,5,1,MRINAL KETAN JAGIRDAR,G203,M W F,4,13-Dec,FN
,,Practical,,,,,Kolanu Sai sandeep,LAB,T Th,8 9,,
189,ME G521,MECHANICAL SYSTEM DESIGN,2,3,5,1,ARNAB GUHA,F204,M W F,10,13-Dec,FN
,,,,,,,G R Sabareesh,,,,,
,,Practical,,,,,Arnab Guha,LAB,Th F,6 7,,
262,ME G532,MACHINE TOOL ENGINEERING,3,2,5,1,KUNDAN KUMAR SINGH,G103,M W F,9,09-Dec,FN
,,Practical,,,,,Gururaja S,LAB,T Th,2 3,,
2079,ME G535,ADV ENGG MATHEMATICS,3,2,5,1,KRC MURTHY,G105,M W F,9,09-Dec,FN
,,Practical,,,,,KRC Murthy,D208 B,T Th,7 8,,
,,,,,,,Aritra Chatterjee,,,,,
739,ME G631,ADVANCED HEAT TRANSFER,3,2,5,1,SANTANU PRASAD DATTA,G201,M W F,8,02-Dec,AN
,,,,,,,Sayan Das,,,,,
,,Practical,,,,,Santanu Prasad Datta,LAB,T Th,4 5,,
740,ME G641,THEORY OF ELASTICITY &,3,2,5,1,BRAJESH KUMAR PANIGRAHI,I114,M W F,2,06-Dec,FN
,,P   L  A  S   T          Practical,,,,,Gudlavalleti Deepak Kumar,LAB,M W,6 7,,
742,MEL G611,IC FABRICATION TECHNOLOGY,3,2,5,1,PARIKSHIT PARSHURAM SAHATIYA,I213,M W F,4,11-Dec,FN
,,Practical,,,,,Parikshit Parshuram Sahatiya,I214,Th,4 5,,
,,,,,,,Bishal kumar keshari,,,,,
,,,,,,,Parikshit Parshuram Sahatiya,I214,M,9 10,,
,,,,,,,Bishal kumar keshari,,,,,
743,MEL G621,VLSI DESIGN,3,2,5,1,S GURUNARAYANAN,G201,M W F,2,16-Dec,FN
,,Practical,,,,1,Kanika,I124,T,4 5,,
,,,,,,,M Aalelai Vendhan,,,,,
,,,,,,,Kanika,I124,F,6 7,,
,,,,,,,M Aalelai Vendhan,,,,,
,,,,,,2,Kanika,I124,T Th,9 10,,
,,,,,,,Anshul Awasthi,,,,,
2063,MEL G622,INTRO TO ARTIF NEURAL NET,2,2,4,1,VENKATESWARAN R,I222,T Th,2,03-Dec,FN
,,Practical,,,,,Venkateswaran R,J105,T Th,9 10,,
,,,,,,,Sreejith v,,,,,
2064,MEL G624,ADV VLSI ARCHITECTURES,-,-,5,1,S K SAHOO,F101,M W F,2,07-Dec,FN
,,,,,,,S K Sahoo,I214,M,7 8,,
,,Practical,,,,,Ramyavani p,J114,W,7 8,,
