COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1941,BIO F216,WATER SANITATION AND,3,-,3,1,SUPRATIM GHOSH,G102,M W F,2,06-Dec,FN
1651,BIO F266,SOTULIDDY W PARSOTJE CMTANAGEMENT,-,-,3,1,RUCHI JAIN DEY,,,,,
1427,BIO F311,RECOMBINANT DNA TECH,3,-,3,1,VIDYA RAJESH,G101,T Th,3,13-Dec,FN
,,,,,,,Vidya Rajesh,G101,F,10,,
,,Tutorial,,,,,Vidya Rajesh,G101,Th,10,,
1428,BIO F312,PLANT PHYSIOLOGY,3,-,3,1,SRIDEV MOHAPATRA,G101,M W F,1,10-Dec,AN
,,Tutorial,,,,,Sridev Mohapatra,G101,T,7,,
1429,BIO F313,ANIMAL PHYSIOLOGY,3,-,3,1,PRAGYA KOMAL,G101,W F,9,02-Dec,FN
,,,,,,,Pragya Komal,G101,Th,8,,
,,Tutorial,,,,,Pragya Komal,G101,T,10,,
1439,BIO F352,CELL & TISSUE CULTR TECH,3,1,4,1,K  PRANAV NARAYAN,G102,M W F,3,11-Dec,FN
,,Practical,,,,,Bibhas Roy,LAB,Th,7 8,,
,,,,,,,Priyanka E,,,,,
,,,,,,,Sharon Mariam Abraham,,,,,
1650,BIO F366,LABORATORY PROJECT,-,-,3,1,RUCHI JAIN DEY,,,,,
1736,BIO F367,LABORATORY PROJECT,-,-,3,1,RUCHI JAIN DEY,,,,,
1685,BIO F376,DESIGN PROJECT,-,-,3,1,RUCHI JAIN DEY,,,,,
1752,BIO F377,DESIGN PROJECT,-,-,3,1,RUCHI JAIN DEY,,,,,
