COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
2420,AN F311,PRINCIPLES OF,3,-,3,1,PARDHA SARADHI GURUGUBELLI V,G205,T Th,1,10-Dec,AN
,,AERODYNAMICS,,,,,Pardha Saradhi Gurugubelli V,G205,M,7,,
2422,AN F313,FLIGHT MECHANICS AND,3,-,3,1,JAYAPRAKASH K S,G206,M W,10,09-Dec,FN
,,CONTROLS,,,,,Jayaprakash K S,G206,Th,6,,
1001,BIO F110,BIOLOGY LABORATORY,-,2,1,1,AMARTYA SANYAL,A122,M,2 3,14-Dec,FN
,,,,,,,Brahmandam N S A L Gayatri,,,,,
,,,,,,,K.Vaishali,,,,,
,,,,,,2,P Sankar Ganesh,A122,F,8 9,,
,,,,,,,Anindita Thakur,,,,,
,,,,,,3,Naga Mohan K,A122,W,2 3,,
,,,,,,,Satarupa Das,,,,,
,,,,,,4,Nishith Gupta,A122,F,2 3,,
,,,,,,,Ch.Mohan Rao,,,,,
,,,,,,,Raunak Sharma,,,,,
,,,,,,5,Ch.Mohan Rao,A122,M,4 5,,
,,,,,,,Ananya Bose,,,,,
,,,,,,6,Debashree B,A122,M,8 9,,
,,,,,,,Puja Das,,,,,
,,,,,,7,Ruchi Jain Dey,A122,F,4 5,,
,,,,,,,Ali Akbar Shoukat Safdari,,,,,
,,,,,,8,Pragya Komal,A122,W,4 5,,
,,,,,,,Omalur Eshwari,,,,,
,,,,,,9,Shuvadeep Maity,A122,T,8 9,,
,,,,,,,Kunja chaitanya,,,,,
,,,,,,10,Supratim Ghosh,A122,Th,9 10,,
,,,,,,,Abhiram Kumar,,,,,
,,,,,,11,Kavi Devraj,A122,W,7 8,,
,,,,,,,Murali Krishna Ramgopal,,,,,
1002,BIO F111,GENERAL BIOLOGY,3,-,3,1,Sridev Mohapatra,F102,T Th,4,10-Dec,FN
,,,,,,,Vivek Sharma,,,,,
,,,,,,,Sridev Mohapatra,F102,M,10,,
,,,,,,,Vivek Sharma,,,,,
,,,,,,2,K  Pranav Narayan,F103,T Th,4,,
,,,,,,,Gireesha T Mohannath,,,,,
,,,,,,,K  Pranav Narayan,F103,M,10,,
,,,,,,,Gireesha T Mohannath,,,,,
,,Tutorial,,,,1,VIDYA RAJESH,G101,T,8,,
,,,,,,,Atish Kumar Behera,,,,,
,,,,,,,Priyanka Chakravarti,,,,,
,,,,,,2,Jayati Ray Dutta,G201,T,8,,
,,,,,,,Tata Pranathi,,,,,
,,,,,,3,K  Pranav Narayan,G203,T,8,,
,,,,,,,Chhavi Dhiman,,,,,
,,,,,,4,Soumyananda Chakraborti,G204,T,8,,
,,,,,,,Aditi Dey,,,,,
,,,,,,5,Bibhas Roy,G205,T,8,,
,,,,,,,Shivashis Mund,,,,,
,,,,,,6,Vivek Sharma,G106,T,8,,
,,,,,,,Sharayu Umakant Ghodeswar,,,,,
,,,,,,7,Trinath Jamma,G105,T,8,,
,,,,,,,Sakhare Kalyani Rajesh,,,,,
,,,,,,8,Gireesha T Mohannath,G102,T,8,,
,,,,,,,Tammineni Ramya,,,,,
,,,,,,9,Piyush Khandelia,F204,T,8,,
,,,,,,,Pragati Karemore,,,,,
,,,,,,10,Kirtimaan Syal,F203,T,8,,
,,,,,,,Shubham Kumar Sinha,,,,,
1112,BIO F211,BIOLOGICAL CHEMISTRY,3,-,3,1,DEBASHREE B,G101,M W F,2,06-Dec,AN
,,Tutorial,,,,,Debashree B,G201,T,1,,
1114,BIO F212,MICROBIOLOGY,3,1,4,1,RUCHI JAIN DEY,G101,T Th,2,16-Dec,FN
,,,,,,,Supratim Ghosh,,,,,
,,,,,,,Ruchi Jain Dey,G101,W,7,,
,,,,,,,Supratim Ghosh,,,,,
,,Practical,,,,1,Ruchi Jain Dey,A123,M,7 8 9,,
,,,,,,,Anannya Dhanwal,,,,,
,,,,,,,Puja Bhardwaj,,,,,
,,,,,,2,Supratim Ghosh,A123,T,7 8 9,,
,,,,,,,Nidhi O,,,,,
,,,,,,,Priyanka Roy,,,,,
1113,BIO F213,CELL BIOLOGY,3,-,3,1,SHUVADEEP MAITY,G101,T Th,4,04-Dec,AN
,,,,,,,Shuvadeep Maity,G101,W,8,,
,,Tutorial,,,,,Bibhas Roy,G101,Th,1,,
1115,BIO F214,INTEGRATED BIOLOGY,3,-,3,1,JAYATI RAY DUTTA,G101,M W F,3,11-Dec,AN
,,Tutorial,,,,,Jayati Ray Dutta,G101,Th,9,,
