COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1315,CS F372,OPERATING SYSTEMS,3,-,3,1,DIPANJAN CHAKRABORTY,F102,M W F,4,04-Dec,FN
,,Tutorial,,,,1,G Geethakumari,D313,M,8,,
,,,,,,,Soriful Momin Nazrul Haque Momin,,,,,
,,,,,,2,G Geethakumari,D313,W,1,,
,,,,,,,Soriful Momin Nazrul Haque Momin,,,,,
,,,,,,3,TO BE ANNOUNCED,D312,M,1,,
,,,,,,,Sandeep Ravikanti,,,,,
,,,,,,4,TO BE ANNOUNCED,D312,M,8,,
,,,,,,,Sandeep Ravikanti,,,,,
1689,CS F376,DESIGN PROJECT,-,-,3,1,NIKUMANI CHOUDHURY,,,,,
1756,CS F377,DESIGN PROJECT,-,-,3,1,NIKUMANI CHOUDHURY,,,,,
1333,CS F407,ARTIFICIAL INTELLIGENCE,3,-,3,1,ABHIJIT DAS,F106,T Th,1,10-Dec,AN
,,,,,,,Attarde Pranjali Devidas,,,,,
,,,,,,,Abhijit Das,F106,M,7,,
,,,,,,,Attarde Pranjali Devidas,,,,,
2440,CS F425,DEEP LEARNING,3,-,3,1,ANEESH SREEVALLABH CHIVUKULA,G107,T Th,3,13-Dec,AN
,,,,,,,Danny muzata,,,,,
,,,,,,,Aneesh Sreevallabh Chivukula,G107,F,10,,
,,,,,,,Danny muzata,,,,,
2444,CS F429,NATURAL LANGUAGE,3,-,3,1,PRAJNA DEVI UPADHYAY,J214,M W,10,09-Dec,FN
,,PROCESSING,,,,,Priya baju,,,,,
,,,,,,,Prajna Devi Upadhyay,J214,Th,6,,
,,,,,,,Priya baju,,,,,
2004,CS G525,ADV COMPUTER NETWORKS,3,2,5,1,NIKUMANI CHOUDHURY,I111,M W F,4,04-Dec,FN
,,Practical,,,,,Nikumani Choudhury,I015,M W,8 9,,
2005,CS G526,ADV ALGORITHMS &,3,2,5,1,TATHAGATA RAY,I111,M W F,5,06-Dec,AN
,,C  O   M   P  L  E   X  I T PYractical,,,,,Tathagata Ray,D312,T Th,7 8,,
918,CS G553,RECONFIGURABLE,-,-,5,1,CHETAN KUMAR V,I221,T Th,2,06-Dec,AN
,,COMPUTING,,,,,Chetan Kumar V,I221,Th,8,,
,,Practical,,,,1,Chetan Kumar V,I124,W,7 8,,
,,,,,,,R Nandagopal,,,,,
,,,,,,,Chetan Kumar V,I124,M,10 11,,
,,,,,,,R Nandagopal,,,,,
,,,,,,2,Chetan Kumar V,I124,T,7 8,,
,,,,,,,Himanshi Awasthi,,,,,
,,,,,,,Chetan Kumar V,I124,W,10 11,,
,,,,,,,Himanshi Awasthi,,,,,
533,CS G554,DISTRIBUTED DATA SYSTEMS,3,2,5,1,MANIK GUPTA,I222,T Th,5,06-Dec,AN
,,,,,,,Manik Gupta,I222,M,7,,
,,Practical,,,,,Manik Gupta,I015,M W,2 3,,
