COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1389,ECE F311,COMMUNICATION SYSTEMS,3,1,4,1,PRASANT KUMAR P,F105,M T Th,9,12-Dec,AN
,,,,,,2,Pranay agarwal,F104,M T Th,9,,
,,,,,,,Nitish Kumar Gupta,,,,,
,,Practical,,,,1,Prasant Kumar P,H106,T,4 5,,
,,,,,,,Chinthapalli Amulya,,,,,
,,,,,,,Sanjana Mathew,,,,,
,,,,,,2,Prasant Kumar P,H106,Th,4 5,,
,,,,,,,Sree Rama Amrutha Lahari,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,3,Nitish Kumar Gupta,H106,W,9 10,,
,,,,,,,Krishna KY KGR,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,4,Nitish Kumar Gupta,H106,Th,7 8,,
,,,,,,,Krishna KY KGR,,,,,
,,,,,,,Neha Parmar,,,,,
,,,,,,5,Subhradeep Pal,H106,T,7 8,,
,,,,,,,Annaram Sowjanya,,,,,
,,,,,,,Sanjana Mathew,,,,,
,,,,,,6,Prasant Kumar P,H106,F,8 9,,
,,,,,,,Chinthapalli Amulya,,,,,
,,,,,,,Sree Rama Amrutha Lahari,,,,,
,,Tutorial,,,,1,Prasant Kumar P,I211,W,8,,
,,,,,,2,Prashant Wali,I210,M,1,,
,,,,,,3,Prashant Wali,I210,W,1,,
,,,,,,4,Nitish Kumar Gupta,I211,M,1,,
,,,,,,5,Nitish Kumar Gupta,I211,W,1,,
1388,ECE F314,EM FILEDS & MICRO ENGG,3,-,3,1,HARISH VIJAY DIXIT,F104,M W F,4,04-Dec,FN
,,Tutorial,,,,1,Harish Vijay Dixit,I221,W,1,,
,,,,,,2,Harish Vijay Dixit,I221,F,1,,
,,,,,,3,Nitish Kumar Gupta,I213,F,1,,
1391,ECE F341,ANALOG ELECTRONICS,3,1,4,1,AMIT KUMAR PANDA,I212,M W F,4,04-Dec,FN
,,Practical,,,,,Amit Kumar Panda,LAB,Th,7 8,,
,,Tutorial,,,,,Amit Kumar Panda,I221,M,1,,
1702,ECE F366,LABORATORY PROJECT,-,-,3,1,STP SRINIVAS,,,,,
1705,ECE F367,LABORATORY PROJECT,-,-,3,1,STP SRINIVAS,,,,,
1703,ECE F376,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
1706,ECE F377,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
2492,ECE F424,SMART GRID FOR,3,-,3,1,STP SRINIVAS,I210,M W F,2,06-Dec,FN
1392,ECE F434,SDUIGSITTAILN SAIBGLNEA ELN PERROGCYESS,3,1,4,1,RAJESH KUMAR TRIPATHY,F105,T Th,10,02-Dec,AN
,,,,,,,S K Sahoo,,,,,
,,,,,,,Rajesh Kumar Tripathy,F105,F,7,,
,,,,,,,S K Sahoo,,,,,
,,Practical,,,,1,BVVSN Prabhakar Rao,I011,F,8 9,,
,,,,,,,Nishchitha N K,,,,,
,,,,,,2,BVVSN Prabhakar Rao,I011,T,4 5,,
,,,,,,,Nishchitha N K,,,,,
,,,,,,3,S K Sahoo,I011,Th,4 5,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,4,BVVSN Prabhakar Rao,I011,W,9 10,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,Tutorial,,,,1,Rajesh Kumar Tripathy,I211,M,8,,
,,,,,,2,Venkateswaran R,I210,M,8,,
,,,,,,3,Venkateswaran R,I210,W,8,,
1023,ECON F211,PRINCIPLES OF ECONOMICS,3,-,3,1,DUSHYANT KUMAR,F107,T Th,3,09-Dec,AN
,,,,,,,Bheemeshwar Reddy A,,,,,
,,,,,,,Dushyant Kumar,F107,F,10,,
,,,,,,,Bheemeshwar Reddy A,,,,,
,,,,,,2,Dushyant Kumar,F207,M W F,2,,
,,,,,,,Bheemeshwar Reddy A,,,,,
,,,,,,3,Vivekananda Mukherjee,F108,T Th,3,,
,,,,,,,Shreya Biswas,,,,,
,,,,,,,Vivekananda Mukherjee,F108,F,10,,
,,,,,,,Shreya Biswas,,,,,
,,,,,,4,Vivekananda Mukherjee,F207,T Th,7,,
,,,,,,,Shreya Biswas,,,,,
,,,,,,,Vivekananda Mukherjee,F207,M,7,,
,,,,,,,Shreya Biswas,,,,,
,,,,,,5,Mini Thomas,F103,T Th,3,,
,,,,,,,Rishi Kumar,,,,,
,,,,,,,Mini Thomas,F103,F,10,,
,,,,,,,Rishi Kumar,,,,,
,,,,,,6,Mini Thomas,F207,M W F,5,,
,,,,,,,Rishi Kumar,,,,,
