COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
2263,CHE F498,COLLOIDS AND INTERFACE,3,-,3,1,NANDINI BHANDARU,F204,M W F,2,06-Dec,FN
270,CHE G512,EPNETGRINOE REERFINING & PETROCHEM,3,1,4,1,SRIKANTA DINDA,F204,T Th,2,16-Dec,AN
,,,,,,,Nalabala Madhavaiah,,,,,
,,,,,,,Srikanta Dinda,F204,W,7,,
,,Practical,,,,,Nalabala Madhavaiah,LAB,F,8 9,,
2002,CHE G523,MATHEMATICAL METHODS IN,3,2,5,1,VIKRANT KUMAR S,F205,T Th,3,13-Dec,FN
,,,,,,,Vikrant Kumar S,F205,F,10,,
,,Practical,,,,,Vikrant Kumar S,D208 C,T,7 8 9,,
,,,,,,,Dasika Prabhat Sourya,,,,,
2084,CHE G528,INTRO TO NANO SCI & TECH,3,1,4,1,SATYAPAUL SINGH AMARTHALURI,F203,M W F,2,06-Dec,FN
,,,,,,,Sai Krishna Reddy Velagala,,,,,
,,,,,,,Sri himaja pamu,,,,,
,,Practical,,,,,Satyapaul Singh Amarthaluri,LAB,Th,8 9,,
,,,,,,,Sai Krishna Reddy Velagala,,,,,
,,,,,,,Sri himaja pamu,,,,,
2032,CHE G622,ADV CHEMICAL ENGG THERMO,3,2,5,1,AFKHAM MIR,F204,M W F,4,04-Dec,FN
,,Practical,,,,,Afkham Mir,D331,M W,8 9,,
1006,CHEM F110,CHEMISTRY LABORATORY,-,2,1,1,SATYA NARAYAN GUIN,B124,W,2 3,14-Dec,FN
,,,,,,,Anil Kumar B M,,,,,
,,,,,,,Rittika Dhar,,,,,
,,,,,,2,Sourav Bag,B124,M,8 9,,
,,,,,,,Arya a,,,,,
,,,,,,,Sivasakthi P,,,,,
,,,,,,3,Abhishek Saha,B124,M,2 3,,
,,,,,,,Moharir Shreyash Rajendra,,,,,
,,,,,,,Shreya Sarker,,,,,
,,,,,,4,Abhishek Saha,B124,F,2 3,,
,,,,,,,Chaudhari Hrushikesh Shesharao,,,,,
,,,,,,,Vibhawari Pundir,,,,,
,,,,,,5,Subit Kumar Saha,B124,W,8 9,,
,,,,,,,Dyagala Shalini,,,,,
,,,,,,,Wadkar Ajit Ganpatrao,,,,,
,,,,,,6,Arijit Mukherjee,B124,M,4 5,,
,,,,,,,Bandana Sar,,,,,
,,,,,,,Mollah Rohan Ahsan,,,,,
,,,,,,7,Nilanjan Dey,B124,W,4 5,,
,,,,,,,Harshal Vasant Barkale,,,,,
,,,,,,,Rikitha Sharyl Fernandes,,,,,
,,,,,,8,Sourav Bag,B124,F,8 9,,
,,,,,,,Arpan Ghosh,,,,,
,,,,,,,Krishna Priyanka K,,,,,
,,,,,,9,Suryoday Pradhan,B124,Th,9 10,,
,,,,,,,Ankur Chanda,,,,,
,,,,,,,Divya Mohan,,,,,
,,,,,,10,Tanmay Chatterjee,B124,T,9 10,,
,,,,,,,Bonagiri Nikhil,,,,,
,,,,,,,Sweta Agarwala,,,,,
,,,,,,11,Himanshu Aggarwal,B124,F,4 5,,
,,,,,,,Arindam Nandy,,,,,
,,,,,,,Neha K Nambiar,,,,,
1007,CHEM F111,GENERAL CHEMISTRY,3,-,3,1,K SUMITHRA,F104,T Th,1,05-Dec,FN
,,,,,,,Anupam Bhattacharya,,,,,
,,,,,,,K Sumithra,F104,M,7,,
,,,,,,,Anupam Bhattacharya,,,,,
,,,,,,2,J Subbalakshmi,F105,T Th,4,,
,,,,,,,Tanmay Chatterjee,,,,,
,,,,,,,J Subbalakshmi,F105,M,10,,
,,,,,,,Tanmay Chatterjee,,,,,
,,Tutorial,,,,1,K Sumithra,G204,Th,7,,
,,,,,,2,J Subbalakshmi,G205,Th,7,,
,,,,,,3,Anupam Bhattacharya,G206,Th,7,,
,,,,,,4,Tanmay Chatterjee,G207,Th,7,,
,,,,,,5,Ramakrishnan G,G208,Th,7,,
,,,,,,6,Abhishek Saha,F201,Th,7,,
,,,,,,7,Satya Narayan Guin,F202,Th,7,,
,,,,,,8,Suryoday Pradhan,F203,Th,7,,
,,,,,,9,Chanchal Chakraborty,F204,Th,7,,
,,,,,,10,TO BE ANNOUNCED,F205,Th,7,,
1116,CHEM F211,PHYSICAL CHEMISTRY I,3,-,3,1,DURBA ROY,G104,M W F,4,13-Dec,AN
,,Tutorial,,,,,Durba Roy,G104,T,1,,
1117,CHEM F212,ORGANIC CHEMISTRY I,3,-,3,1,MANAB CHAKRAVARTY,G104,M W F,2,06-Dec,AN
,,,,,,,Anupam Bhattacharya,,,,,
,,Tutorial,,,,,Manab Chakravarty,G104,F,7,,
,,,,,,,Anupam Bhattacharya,,,,,
1118,CHEM F213,PHYSICAL CHEMISTRY II,3,-,3,1,PRALOK KUMAR SAMANTA,G104,T W F,8,04-Dec,AN
,,Tutorial,,,,,Pralok Kumar Samanta,G104,Th,9,,
