COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1305,PHA F415,PATHOPHYSIOLOGY,3,-,3,1,ABHIJEET RAJENDRA JOSHI,G103,M W F,2,06-Dec,FN
1308,PHA F422,COSMETIC SCIENCE,2,1,3,1,D SRIRAM,G201,T Th,3,13-Dec,AN
,,,,,,,Swati Biswas,,,,,
,,Practical,,,,,D Sriram,B212,T,7 8,,
,,,,,,,K Vandana,,,,,
,,,,,,,Zinataman Sarkar,,,,,
2382,PHA G535,BIOMATERIALS,-,-,5,1,NIRMAL J,G101,M W F,4,04-Dec,FN
2384,PHA G537,PARENTERAL PRODUCT,-,-,5,1,AKASH C,I112,M W F,3,11-Dec,FN
2385,PHA G538,DIMEMVUENLOPMHEANRTMACOLOGY,3,2,5,1,ONKAR KULKARNI,G201,M W F,4,04-Dec,FN
2387,PHA G540,MODERN PHARMACEUTICAL,3,1,4,1,A SAJELI BEGUM,G104,T Th,5,09-Dec,FN
,,ANALYTICAL TECHNIQUES,,,,,A Sajeli Begum,G104,W,10,,
,,Practical,,,,,A Sajeli Begum,B108,M,8 9,,
,,,,,,,Gupta Suraj Pyarelal Meena,,,,,
,,,,,,,Mogapothula Surya Teja,,,,,
,,,,,,,P. S Lakshmi Soukya,,,,,
,,,,,,,Tamizhmadi,,,,,
653,PHA G542,ADVANCE PHYSICAL PHARMA,3,2,5,1,V V KRISHNA VENUGANTI,G104,T Th,4,06-Dec,FN
,,,,,,,V V Krishna Venuganti,G104,M,10,,
,,Practical,,,,,V V Krishna Venuganti,B212,Th,7 8 9 10,,
,,,,,,,Naik Sharayu Sunil jyoti,,,,,
,,,,,,,Sankar Shridula,,,,,
55,PHA G543,CLINICAL RESEARCH,3,-,5,1,ARTI DHAR,G203,T Th,3,11-Dec,FN
,,,,,,,Arti Dhar,G203,M,7,,
2132,PHA G545,IPR AND PHARMACEUTICALS,3,-,3,1,P YOGEESWARI,G102,M W F,9,06-Dec,FN
,,,,,,,Yuvaraj Singh,,,,,
2293,PHA G547,QUALI-BY-DESIGN IN,-,-,5,1,R PUNNA RAO,G106,T Th,5,09-Dec,FN
,,PHARMACEUTICAL PROD,,,,,R Punna Rao,G106,W,10,,
,,Practical,,,,,R Punna Rao,A022,Th,7 8 9 10,,
,,,,,,,Swagata Sinha,,,,,
