COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
2164,BITS G562T,DISSERTATION,-,-,16,1,ALIVELU MANGA PARIMI,,,,,
2166,BITS G564T,DISSERTATION,-,-,9,1,ALIVELU MANGA PARIMI,,,,,
757,BITS G649,READING COURSE,-,-,5,1,ALIVELU MANGA PARIMI,,,,,
1073,CE F211,MECHANICS OF SOLIDS,3,-,3,1,CHANDU PARIMI,F109,M W F,3,11-Dec,AN
,,,,,,,Raghu Piska,,,,,
,,Tutorial,,,,,Anna Mariya Shajan,F109,T,1,,
,,,,,,,Chandu Parimi,,,,,
,,,,,,,Raghu Piska,,,,,
1075,CE F213,SURVEYING,3,1,4,1,K RAJITHA,F109,M W F,2,06-Dec,AN
,,Practical,,,,1,Krishnendu Sivadas,D110,M,4 5,,
,,,,,,,K Rajitha,,,,,
,,,,,,2,Nagalapalli Satish,D110,W,4 5,,
,,,,,,,K Rajitha,,,,,
,,Tutorial,,,,,K Rajitha,F109,Th,1,,
2279,CE F230,CIVIL ENGINEERING,3,1,4,1,V VINAYAKA RAM,F109,T Th,2,16-Dec,FN
,,MATERIALS,,,,,V Vinayaka Ram,F109,W,7,,
,,Practical,,,,1,V Vinayaka Ram,D127,F,4 5,,
,,,,,,,Md Ikramullah Khan,,,,,
,,,,,,2,V Vinayaka Ram,D127,M,8 9,,
,,,,,,,Sk Abdul Kaium,,,,,
,,Tutorial,,,,,V Vinayaka Ram,F109,T,9,,
2280,CE F231,FLUID MECHANICS,3,-,3,1,K SRINIVASA RAJU,F109,T W F,8,04-Dec,AN
,,Tutorial,,,,,K Srinivasa Raju,F109,Th,9,,
1652,CE F266,STUDY PROJECT,-,-,3,1,BANDHAN BANDHU MAJUMDAR,,,,,
1196,CE F312,HYDRAULIC ENGINEERING,3,1,4,1,ANMALA JAGADEESH,F109,M W F,4,04-Dec,FN
,,Practical,,,,1,Deepjyoti Deb,E122,Th,4 5,,
,,,,,,2,Jenisha Ma,E122,T,4 5,,
,,Tutorial,,,,,Anmala Jagadeesh,F109,M,1,,
1197,CE F313,FOUNDATION ENGINEERING,3,-,3,1,AMMAVAJJULA SESHA SAI,F109,T Th,10,02-Dec,AN
,,,,,,,RAmAGmHaUvaRjjAulMa Sesha Sai Raghuram,F109,F,7,,
,,Tutorial,,,,,Ammavajjula Sesha Sai Raghuram,F109,W,1,,
