COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
324,EEE G512,EMBEDDED SYSTEM DESIGN,3,1,4,1,ANAKHI HAZARIKA,I114,M W F,3,09-Dec,FN
,,Practical,,,,,Anakhi Hazarika,J105,T,7 8,,
,,,,,,,Thalla Narasimha Swetha,,,,,
2511,EEE G513,MACHINE LEARNING FOR,3,1,4,1,PRASHANT WALI,I221,M W F,4,09-Dec,AN
,,E   L  E  C   T  R   O   N  PICraSc EticNaGl INEERS,,,,,Prashant Wali,I222,Th,7 8,,
,,,,,,,Cynthia C,,,,,
698,EEE G581,RF & MICROWAVE ENGG,3,2,5,1,SOURAV NANDI,I222,M W F,5,13-Dec,FN
,,Practical,,,,,Sourav Nandi,K125,Th,4 5,,
,,,,,,,Mendhe Mrunali Vijay,,,,,
712,EEE G591,OPTICAL COMMUNICATION,3,2,5,1,SUBHRADEEP PAL,I212,M W F,5,05-Dec,FN
,,Practical,,,,,Subhradeep Pal,I212,T Th,4 5,,
,,,,,,,Keerthi C J,,,,,
707,EEE G612,CODING THEORY & PRACTICE,3,2,5,1,RUNA KUMARI,I222,M W F,4,04-Dec,FN
,,Practical,,,,,Runa Kumari,H106,M W,7 8,,
,,,,,,,Ch Suresh Kumar,,,,,
471,EEE G613,ADV DIGITAL SIGNAL PROC,-,-,5,1,RAJESH KUMAR TRIPATHY,I222,T Th,3,11-Dec,FN
,,,,,,,Rajesh Kumar Tripathy,I222,W,9,,
,,Practical,,,,,Rajesh Kumar Tripathy,I011,F,10 11,,
,,,,,,,Rajesh Kumar Tripathy,I011,Th,6 7,,
2512,EEE G614,ADVANCED WIRELESS,3,2,5,1,PRANAY AGARWAL,I221,M W F,2,07-Dec,FN
,,C   O   M   M   U   N  I C  PArTaIcOtiNcaSl,,,,,Pranay agarwal,I011,W,7 8,,
,,,,,,,Avula brahma tejaswini,,,,,
,,,,,,,Pranay agarwal,I011,F,6 7,,
,,,,,,,Avula brahma tejaswini,,,,,
921,EEE G626,HARDWARE SOFTWARE CO-,-,-,5,1,AMIT KUMAR PANDA,I213,T Th,3,13-Dec,FN
,,DSN,,,,,Amit Kumar Panda,I213,F,10,,
,,Practical,,,,,Amit Kumar Panda,J105,W,9 10,,
,,,,,,,TO BE ANNOUNCED,,,,,
1942,FIN F414,FINANCIAL RISK ANALYTICS,3,-,3,1,T NAGARAJU,G207,M W F,2,06-Dec,FN
,,AND MANAGEMENT,,,,2,ACV Subrahmanyam,G206,M W F,2,,
1131,GS F212,ENVIRON DEV & CLIMATE,3,-,3,1,LAVANYA SURESH,J119,M W F,1,10-Dec,AN
