COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1731,EEE F366,LABORATORY PROJECT,-,-,3,1,STP SRINIVAS,,,,,
1742,EEE F367,LABORATORY PROJECT,-,-,3,1,STP SRINIVAS,,,,,
1691,EEE F376,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
1758,EEE F377,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
2288,EEE F411,INTERNET OF THINGS,3,1,4,1,RAVIKIRAN YELESWARAPU,F104,M W F,3,11-Dec,FN
,,Practical,,,,1,Ravikiran Yeleswarapu,J105,T,4 5,,
,,,,,,,Krishnapriya G B,,,,,
,,,,,,,Parvathy nair,,,,,
,,,,,,2,Ravikiran Yeleswarapu,J105,Th,7 8,,
,,,,,,,Abhishek Kumar,,,,,
,,,,,,,Granthana Sen,,,,,
,,,,,,3,Ravikiran Yeleswarapu,J105,Th,4 5,,
,,,,,,,Parvathy nair,,,,,
,,,,,,,Ritesh Kumar Singh,,,,,
,,,,,,4,Balasubramanian Malayappan,J105,F,8 9,,
,,,,,,,Granthana Sen,,,,,
,,,,,,,Krishnapriya G B,,,,,
1254,EEE F422,MODERN CONTROL SYSTEMS,3,-,3,1,ALIVELU MANGA PARIMI,I210,T Th,2,16-Dec,AN
,,,,,,,Alivelu Manga Parimi,I210,W,7,,
2496,EEE F424,SMART GRID FOR,3,-,3,1,STP SRINIVAS,I210,M W F,2,06-Dec,FN
1256,EEE F434,SDUIGSITTAILN SAIBGLNEA ELN PERROGCYESS,3,1,4,1,RAJESH KUMAR TRIPATHY,F105,T Th,10,02-Dec,AN
,,,,,,,S K Sahoo,,,,,
,,,,,,,Rajesh Kumar Tripathy,F105,F,7,,
,,,,,,,S K Sahoo,,,,,
,,Practical,,,,1,BVVSN Prabhakar Rao,I011,F,8 9,,
,,,,,,,Nishchitha N K,,,,,
,,,,,,2,BVVSN Prabhakar Rao,I011,T,4 5,,
,,,,,,,Nishchitha N K,,,,,
,,,,,,3,S K Sahoo,I011,Th,4 5,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,4,BVVSN Prabhakar Rao,I011,W,9 10,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,Tutorial,,,,1,Rajesh Kumar Tripathy,I211,M,8,,
,,,,,,2,Venkateswaran R,I210,M,8,,
,,,,,,3,Venkateswaran R,I210,W,8,,
1854,EEE F473,WIND ELECTRICAL SYSTEM,3,-,3,1,STP SRINIVAS,I210,M W,10,09-Dec,FN
,,,,,,,STP Srinivas,I210,Th,6,,
462,EEE G510,RF MICROELECTRONICS,-,-,5,1,PRITESH KUMAR YADAV,G106,M W F,1,13-Dec,AN
,,Practical,,,,,Pritesh Kumar Yadav,K125,W F,6 7,,
,,,,,,,TO BE ANNOUNCED,,,,,
