COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1127,PHY F212,ELECTROMAGNETIC THEO I,3,-,3,1,Sashideep Gutti,G201,M W F,3,11-Dec,AN
,,,,,,2,VSN Murthy,G202,M W F,3,,
,,,,,,3,TO BE ANNOUNCED,G203,M W F,3,,
,,,,,,4,RAHUL NIGAM,F103,M W F,3,,
,,,,,,5,Swastik Bhattacharya,G204,M W F,3,,
,,,,,,6,Asrarul Haque,G103,M W F,3,,
,,Tutorial,,,,1,Sashideep Gutti,G201,Th,1,,
,,,,,,2,VSN Murthy,G202,Th,1,,
,,,,,,3,Debanjan Polley,G203,Th,1,,
,,,,,,4,Rahul Nigam,F107,Th,1,,
,,,,,,5,Swastik Bhattacharya,G204,Th,1,,
,,,,,,6,Asrarul Haque,G103,Th,1,,
1128,PHY F213,OPTICS,3,-,3,1,MEENAKSHI V,G202,T W F,8,04-Dec,AN
,,Tutorial,,,,,Meenakshi V,G202,Th,9,,
1129,PHY F214,ELEC MAGNET & OPTICS LAB,-,2,2,1,SUBHASH N. KARBELKAR,A210,M W,4 5,,
,,,,,,,K V Shiv Chaitanya,,,,,
,,,,,,2,Subhash N. Karbelkar,A211,T Th,4 5,,
,,,,,,,K V Shiv Chaitanya,,,,,
1666,PHY F266,STUDY PROJECT,-,-,3,1,SWASTIK BHATTACHARYA,,,,,
1486,PHY F311,QUANTUM MECHANICS II,3,-,3,1,PRASANT SAMANTRAY,I113,W F,9,02-Dec,FN
,,,,,,,Prasant Samantray,I113,Th,8,,
,,Tutorial,,,,,Prasant Samantray,G202,T,10,,
1487,PHY F312,STATISTICAL MECHANICS,3,-,3,1,SARMISTHA BANIK,G202,T Th,3,13-Dec,FN
,,,,,,,Sarmistha Banik,G202,F,10,,
,,Tutorial,,,,,Sarmistha Banik,G202,T,7,,
,,,,,,,Debanjan Guha Roy,,,,,
,,,,,,,Suraj Kumar Maurya,,,,,
1488,PHY F313,COMPUTATIONAL PHYSICS,3,-,3,1,SUBHADEEP ROY,G202,M W F,1,10-Dec,AN
,,Tutorial,,,,,Subhadeep Roy,G202,Th,10,,
,,,,,,,ViswaKannan R K,,,,,
2192,PHY F316,MUSICAL ACOUSTICS,3,-,3,1,K V SHIV CHAITANYA,G203,M W F,2,06-Dec,FN
2176,PHY F345,QUANTUM MECHANICS FOR,3,-,3,1,KANNAN RAMASWAMY,G106,M W F,3,11-Dec,FN
2448,PHY F346,ELANSGEINRE SECRIESNCE &,3,-,3,1,ARANYA BHUTI BHATTACHERJEE,G106,M W F,2,06-Dec,FN
