COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
2394,ME F216,MATERIALS SCIENCE AND,2,1,3,1,PIYUSH CHANDRA VERMA,F107,W F,8,04-Dec,AN
,,ENGINEER,,,,2,Prabakaran Saravanan,F108,W F,8,,
,,Practical,,,,1,Piyush Chandra Verma,E002,M,4 5,,
,,,,,,,Aditya Nema,,,,,
,,,,,,,Ashish Saurabh,,,,,
,,,,,,2,Prabakaran Saravanan,E002,W,4 5,,
,,,,,,,Aditya Nema,,,,,
,,,,,,,M Abhinav,,,,,
,,,,,,3,Nagarani s,E002,T,4 5,,
,,,,,,,Kandula Uday Kumar Reddy,,,,,
,,,,,,,Suswanth Poluru,,,,,
,,,,,,4,Sreejith S,E002,Th,4 5,,
,,,,,,,Nagarani s,,,,,
,,,,,,,Vicky Lad,,,,,
,,Tutorial,,,,1,Piyush Chandra Verma,F202,Th,9,,
,,,,,,,Kandula Uday Kumar Reddy,,,,,
,,,,,,2,Prabakaran Saravanan,F203,Th,9,,
,,,,,,,Kandula Uday Kumar Reddy,,,,,
,,,,,,3,Ashish Saurabh,F204,Th,9,,
,,,,,,4,M Abhinav,F201,Th,9,,
2396,ME F217,APPLIED THERMODYNAMICS,3,1,4,1,SATISH K DUBEY,F107,T Th,2,16-Dec,FN
,,,,,,,Satish K Dubey,F107,W,7,,
,,,,,,2,Jayaprakash K S,F108,T Th,2,,
,,,,,,,Jayaprakash K S,F108,W,7,,
,,Practical,,,,1,Satish K Dubey,E122,F,4 5,,
,,,,,,,Dhoni Nagaraj,,,,,
,,,,,,,Meduri Sitaram,,,,,
,,,,,,2,Shaik Gouse Ahammad,E122,T,6 7,,
,,,,,,,Sanjeet Kumar,,,,,
,,,,,,,Suhas shreekrishna,,,,,
,,,,,,3,Kiran Somisetti,E122,M,4 5,,
,,,,,,,Joshua Kumar Saladi,,,,,
,,,,,,,Sibin V Mathew,,,,,
,,,,,,4,Lingampally Swetha,E122,W,4 5,,
,,,,,,,Dhoni Nagaraj,,,,,
,,,,,,,Kalyani Panigrahi,,,,,
,,Tutorial,,,,1,Satish K Dubey,F202,T,9,,
,,,,,,,Shaik Gouse Ahammad,,,,,
,,,,,,2,Jayaprakash K S,F203,T,9,,
,,,,,,,Shaik Gouse Ahammad,,,,,
,,,,,,3,S S Deshmukh,F204,T,9,,
,,,,,,,Kiran Somisetti,,,,,
,,,,,,4,Mrinal Ketan Jagirdar,F201,T,9,,
,,,,,,,Kiran Somisetti,,,,,
1663,ME F266,STUDY PROJECT,-,-,3,1,ARSHAD JAVED,,,,,
2401,ME F314,DESIGN OF MACHINE,3,-,3,1,SP REGALLA,F108,M W F,4,04-Dec,FN
,,ELEMENTS,,,,2,Pavan Kumar P,F107,M W F,4,,
,,Tutorial,,,,1,SP Regalla,F202,M,1,,
,,,,,,,Suswanth Poluru,,,,,
,,,,,,2,Pavan Kumar P,F203,M,1,,
,,,,,,,Suswanth Poluru,,,,,
,,,,,,3,Veeraiahgari Vamshi,F204,M,1,,
,,,,,,4,Vicky Lad,F201,M,1,,
2403,ME F315,ADVANCED MANUFACTURING,2,1,3,1,N SURESH KUMAR REDDY,F108,M W,5,07-Dec,AN
,,PROCESSES,,,,2,Amritha Priyadarshini,F107,M W,5,,
,,Practical,,,,1,N Suresh Kumar Reddy,WS,Th,4 5,,
,,,,,,,Gunashekar G,,,,,
,,,,,,,Rahul kumar,,,,,
,,,,,,2,Alok Kumar,WS,T,7 8,,
,,,,,,,Gunashekar G,,,,,
,,,,,,,Jose Santo,,,,,
,,,,,,3,Anka datta,WS,F,8 9,,
,,,,,,,Gururaja S,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,4,Awadhesh,WS,T,4 5,,
,,,,,,,Jose Santo,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,Tutorial,,,,1,N Suresh Kumar Reddy,F201,F,1,,
,,,,,,,Rahul kumar,,,,,
,,,,,,2,Amritha Priyadarshini,F202,F,1,,
,,,,,,,Rahul kumar,,,,,
,,,,,,3,Alok Kumar,F203,F,1,,
,,,,,,4,Anka datta,F204,F,1,,
2404,ME F316,MANUFACTURING,2,-,2,1,AMRITHA PRIYADARSHINI,F103,T Th,9,12-Dec,AN
,,M   A  N   A  G   E  M   E TNuTtorial,,,,1,Amritha Priyadarshini,F201,W,1,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,2,Sreejith S,F202,W,1,,
,,,,,,3,Awadhesh,F203,W,1,,
,,,,,,4,Sanjeet Kumar,F204,W,1,,
2405,ME F317,"""ENGINES MOTORS AND""",2,-,2,1,R PARAMESHWARAN,F107,T Th,10,02-Dec,AN
,,MOBILITY,,,,2,N Jalaiah,F108,T Th,10,,
,,Tutorial,,,,1,R Parameshwaran,F202,M,8,,
,,,,,,,Joshua Kumar Saladi,,,,,
,,,,,,2,N Jalaiah,F201,M,8,,
,,,,,,,Joshua Kumar Saladi,,,,,
,,,,,,3,Meduri Sitaram,F203,M,8,,
,,,,,,4,Lingampally Swetha,F204,M,8,,
1680,ME F366,LABORATORY PROJECT,-,-,3,1,KUNDAN KUMAR SINGH,,,,,
1748,ME F367,LABORATORY PROJECT,-,-,3,1,KUNDAN KUMAR SINGH,,,,,
1697,ME F376,DESIGN PROJECT,-,-,3,1,MRINAL KETAN JAGIRDAR,,,,,
