COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1346,INSTR F312,TRANSD & MEASUREMENT TEC,3,-,3,1,ARINDAM KUSHAGRA,G107,M W F,4,04-Dec,FN
,,Tutorial,,,,1,Arindam Kushagra,G107,F,1,,
,,,,,,2,Sanket Goel,J214,F,1,,
1347,INSTR F313,ANALOG & DIGITAL VLSI DES,3,-,3,1,SYED ERSHAD AHMED,F105,M W F,5,07-Dec,AN
,,Tutorial,,,,1,Syed Ershad Ahmed,I212,M,1,,
,,,,,,2,Chetan Kumar V,I213,M,1,,
,,,,,,3,Syed Ershad Ahmed,I212,W,1,,
,,,,,,4,Surya Shankar Dan,I213,W,1,,
1348,INSTR F341,ANALOG ELECTRONICS,3,1,4,1,AMIT KUMAR PANDA,I212,M W F,4,04-Dec,FN
,,Practical,,,,,Amit Kumar Panda,LAB,Th,7 8,,
,,Tutorial,,,,,Amit Kumar Panda,I221,M,1,,
1734,INSTR F366,LABORATORY PROJECT,-,-,3,1,STP SRINIVAS,,,,,
1745,INSTR F367,LABORATORY PROJECT,-,-,3,1,STP SRINIVAS,,,,,
1694,INSTR F376,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
1761,INSTR F377,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
2502,INSTR F424,SMART GRID FOR,3,-,3,1,STP SRINIVAS,I210,M W F,2,06-Dec,FN
275,ITEB G621,SUSPTPALYIN CAHBALEIN E MNAENRAGGYEMENT,-,-,4,1,C P KIRAN,G206,T Th,2,06-Dec,FN
,,,,,,,C P Kiran,G206,W,7,,
1010,MATH F111,MATHEMATICS I,3,-,3,1,Rohit Gupta,F107,T Th,5,03-Dec,AN
,,,,,,,Rohit Gupta,F107,W,10,,
,,,,,,2,Sumit Kumar V,F105,T Th,5,,
,,,,,,,Sumit Kumar V,F105,W,10,,
,,,,,,3,SAJITH P,F105,M W F,1,,
,,,,,,4,B Mishra,F104,T Th,5,,
,,,,,,,B Mishra,F104,W,10,,
,,,,,,5,Sushil Bhunia,F107,M W F,1,,
,,,,,,6,K Venkata Ratnam,F106,T Th,5,,
,,,,,,,K Venkata Ratnam,F106,W,10,,
,,,,,,7,Nijjwal Karak,F106,M W F,1,,
,,Tutorial,,,,1,B Mishra,I111,F,7,,
,,,,,,2,Sumit Kumar V,I112,F,7,,
,,,,,,3,Sajith P,I113,F,7,,
,,,,,,4,K Venkata Ratnam,I114,F,7,,
,,,,,,5,Sushil Bhunia,I122,F,7,,
,,,,,,6,Rohit Gupta,I210,F,7,,
,,,,,,7,Nijjwal Karak,I211,F,7,,
,,,,,,8,Sayantan Ghosh,I212,F,7,,
,,,,,,9,Shayon Bhadra,I213,F,7,,
,,,,,,10,Purohit Nisarg Bharatbhi,I221,F,7,,
,,,,,,11,Shravani rao,I222,F,7,,
,,,,,,12,Amya Ranjan Ray,G101,F,7,,
,,,,,,13,Komal Kumar,J220,F,7,,
,,,,,,14,Naorem Priyobarta Singh,G103,F,7,,
,,,,,,15,Aaqid Mohi Ud Din Bhat,J214,F,7,,
,,,,,,16,Suman Prabha Yadav,G105,F,7,,
,,,,,,17,Md Imdadul Islam,G107,F,7,,
,,,,,,18,Rahul Vijay Bhagat,G201,F,7,,
,,,,,,19,Yengkhom Kalpana Devi,G202,F,7,,
,,,,,,20,Dhrubajyoti Sarkar,G203,F,7,,
,,,,,,21,Nitin Kumar Sharma,G204,F,7,,
