COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1133,GS F221,BUSINESS COMMUNICATION,3,-,3,1,ARUNA LOLLA,J119,T Th,10,05-Dec,AN
,,,,,,,Aruna Lolla,J119,F,7,,
1135,GS F223,INTRO TO MASS COMM,3,-,3,1,TO BE ANNOUNCED,J217,T Th,5,03-Dec,FN
,,,,,,,TO BE ANNOUNCED,J217,W,10,,
1169,GS F231,DYNAMICS OF SOCIAL CHANGE,3,-,3,1,SUCHISMITA SATPATHY,J121,T Th,10,05-Dec,AN
,,,,,,,Suchismita Satpathy,J121,F,7,,
1170,GS F232,INTRODUCTORY PSYCHOLOGY,3,-,3,1,MADHUSHREE CHAKRABARTY,J206,M W,10,09-Dec,FN
,,,,,,,Madhushree Chakrabarty,J206,Th,6,,
1158,GS F241,CREATIVE WRITING,3,-,3,1,TONY SEBASTIAN,J120,M W F,1,10-Dec,AN
1159,GS F242,CULTURAL STUDIES,3,-,3,1,SHILPAA ANAND,J120,T Th,3,13-Dec,AN
,,,,,,,Shilpaa Anand,J120,F,10,,
1161,GS F244,REPORTING AND WRITING,3,-,3,1,KRISHNANUNNI HARI,J121,T Th,3,13-Dec,AN
,,FOR MEDIA,,,,,Krishnanunni Hari,J121,F,10,,
1165,GS F245,EFFECTIVE PUBLIC SPEAK,2,1,3,1,SANTOSH  MAHAPATRA,J107,T Th,10,05-Dec,AN
,,,,,,,Santosh  Mahapatra,J107,F,7,,
1174,GS F312,APPLIED PHILOSOPHY,3,-,3,1,JAYESH A K,J121,M W F,1,10-Dec,AN
1137,GS F322,CRITI ANAL OF LIT & CINE,3,-,3,1,MG PRASUNA,J115,T Th,5,03-Dec,FN
,,,,,,,MG Prasuna,J115,W,10,,
