COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
2344,CE G572,TRANSPORTATION DATA,3,1,4,1,PRASANTA KUMAR SAHU,F203,T Th,3,11-Dec,FN
,,ANALYTICS,,,,,Prasanta Kumar Sahu,F203,W,10,,
,,Practical,,,,,Prasanta Kumar Sahu,D224,M,8 9,,
345,CE G612,ADVANCED STEEL STRUCTURE,3,1,4,1,MOHAN S C,F202,T Th,5,05-Dec,FN
,,,,,,,Mohan S C,F202,M,10,,
,,Practical,,,,,Boyina Kalyan,D331A,F,8 9,,
613,CE G614,PRESTRESS CONCRETE,3,1,4,1,BAHURUDEEN A,F203,M W F,4,09-Dec,AN
,,S  T  R   U   C         Practical,,,,,Bahurudeen A,LAB,Th,8 9,,
343,CE G617,ADVANCE STRUC ANALYSIS,3,1,4,1,PN RAO,F203,T Th,5,07-Dec,AN
,,,,,,,PN Rao,F203,F,7,,
,,Practical,,,,,PN Rao,D331A,Th,8 9,,
326,CE G619,FINITE ELEMENT ANALYSIS,3,2,5,1,RAGHU PISKA,F204,T Th,3,10-Dec,AN
,,,,,,,Raghu Piska,F204,M,7,,
,,Practical,,,,,Raghu Piska,D224,F,8 9,,
87,CE G620,ADVANCE FOUNDATION ENGG,3,1,4,1,ANASUA GUHARAY,F203,M W F,5,03-Dec,FN
,,Practical,,,,,Anasua Guharay,D208 C,M,8 9,,
1069,CHE F211,CHEMICAL PROCESS CALCULA,3,-,3,1,BALAJI KRISHNAMURTHY,F205,M W F,2,06-Dec,AN
,,Tutorial,,,,,Balaji Krishnamurthy,F205,T,9,,
1072,CHE F212,FLUID MECHANICS,3,-,3,1,VIKRANT KUMAR S,F205,M W F,3,11-Dec,AN
,,Tutorial,,,,,Vikrant Kumar S,D208 A,Th,1,,
1071,CHE F213,CHEM ENGG,3,-,3,1,RAMENDRA KISHOR PAL,F205,T Th,2,16-Dec,FN
,,THERMODYNAMICS,,,,,Ramendra Kishor Pal,F205,W,7,,
,,Tutorial,,,,,Ramendra Kishor Pal,F204,F,6,,
1070,CHE F214,ENGINEERING CHEMISTRY,3,-,3,1,KARTHIK CHETAN,F205,T W F,8,04-Dec,AN
,,Tutorial,,,,,Karthik Chetan,F205,Th,9,,
