COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
1764,ME F377,DESIGN PROJECT,-,-,3,1,MRINAL KETAN JAGIRDAR,,,,,
1280,ME F418,ROCKET AND SPACECRAFT,3,-,3,1,SUPRADEEPAN K,G205,T Th,2,16-Dec,AN
,,PROPULSION,,,,,Supradeepan K,G205,W,7,,
2309,ME F424,ENERGY MANAGEMENT,3,-,3,1,S S DESHMUKH,G205,M W F,3,11-Dec,FN
2310,ME F425,ADDITIVE MANUFACTURING,3,-,3,1,JEEVAN JAIDI,G205,M W F,2,06-Dec,FN
2311,ME F426,INDUSTRY 4.0 IN,3,-,3,1,KUNDAN KUMAR SINGH,J214,M W F,3,11-Dec,FN
2541,ME F428,MSMANARUTF AMCATTUERIINAGLS,3,1,4,1,AMIT KUMAR GUPTA,G205,T Th,3,13-Dec,AN
,,,,,,,Amit Kumar Gupta,G205,F,10,,
,,Practical,,,,,Pardha Saradhi Gurugubelli V,LAB,Th,7 8,,
1284,ME F443,QUALI CONTRO ASSUR & REL,3,-,3,1,C P KIRAN,G207,M W F,3,11-Dec,FN
1287,ME F461,REFRIGERATION & AIRCOND,3,-,3,1,R PARAMESHWARAN,G204,M W F,2,06-Dec,FN
741,ME G511,MECHANISMS & ROBOTICS,2,3,5,1,ABHISHEK SARKAR,G106,T Th,4,04-Dec,FN
,,,,,,,Abhishek Sarkar,G106,M,10,,
,,Practical,,,,,YV Daseswara Rao,D208 B,M F,6 7 8,,
,,,,,,,George Yuvaraj,,,,,
322,ME G512,FINITE ELEMENT METHOD,-,-,5,1,Amol Vuppuluri,G204,T Th,5,06-Dec,FN
,,,,,,,Amol Vuppuluri,G204,W,10,,
,,Practical,,,,,GAURAV SHARMA,D208 B,T Th,9 10,,
